#Paddle1,#Paddle2,#Paddle3,#H_S1,#H_S2,#H_S3,#D_S1,#D_S2,#D_S3,#AXIS_S1,#AXIS_S2,#AXIS_S3,#ROT_ANGLE
0.000000,0.000000,0.000000,-0.136374,-0.980755,-0.139719,-0.569298,0.193009,-0.799154,-0.596492,0.736564,-0.318860,139.819383
0.000000,0.000000,10.051095,0.136091,-0.978584,0.154441,-0.497801,-0.202329,-0.843360,-0.719369,0.573131,-0.392465,142.228232
0.000000,0.000000,19.978102,0.384698,-0.818582,0.426534,-0.215910,-0.529078,-0.820646,-0.806758,0.363804,-0.465605,139.669789
0.000000,0.000000,30.029197,0.526060,-0.572103,0.629253,0.173746,-0.652004,-0.738040,-0.847757,0.139454,-0.511724,133.217373
0.000000,0.000000,39.956204,0.535810,-0.371500,0.758218,0.538288,-0.541550,-0.645732,-0.836737,-0.064385,-0.543806,123.227630
0.000000,0.000000,50.007299,0.485166,-0.262582,0.834065,0.803866,-0.241434,-0.543608,-0.783099,-0.259626,-0.565111,109.339301
0.000000,0.000000,60.058394,0.445366,-0.260014,0.856762,0.895237,0.144441,-0.421530,-0.689238,-0.436153,-0.578551,93.241500
0.000000,0.000000,69.985401,0.470433,-0.321033,0.821967,0.811534,0.523217,-0.260111,-0.541998,-0.603452,-0.584880,75.513085
0.000000,0.000000,80.036496,0.583781,-0.398720,0.707264,0.627006,0.774820,-0.080732,-0.336979,-0.721402,-0.605000,57.963265
0.000000,0.000000,89.963504,0.759496,-0.419135,0.497486,0.404989,0.903131,0.142609,0.037980,-0.773180,-0.633048,40.610806
0.000000,0.000000,100.014599,0.915916,-0.344170,0.206509,0.266947,0.906567,0.326919,0.584208,-0.517747,-0.625011,29.267332
0.000000,0.000000,109.941606,0.974474,-0.186852,-0.124445,0.223721,0.854393,0.469002,0.909924,0.136541,-0.391656,31.610996
0.000000,0.000000,119.992701,0.875200,0.014510,-0.483544,0.277862,0.803145,0.527021,0.774088,0.606476,-0.181590,46.479658
0.000000,0.000000,130.043796,0.591950,0.171182,-0.787586,0.374501,0.806869,0.456849,0.559332,0.821445,-0.111250,66.035572
0.000000,0.000000,139.970803,0.173565,0.198976,-0.964512,0.415052,0.873371,0.254863,0.350300,0.930365,-0.108220,86.676772
0.000000,0.000000,150.021898,-0.247853,0.050959,-0.967456,0.320168,0.946815,-0.032152,0.148554,0.978938,-0.140045,106.022367
0.000000,0.000000,159.948905,-0.566643,-0.258026,-0.782521,0.063845,0.933098,-0.353909,-0.063083,0.978502,-0.196353,124.952860
0.000000,0.000000,170.000000,-0.653187,-0.557118,-0.512802,-0.220426,0.787811,-0.575123,-0.236787,0.937467,-0.255121,138.710391
0.000000,10.051095,0.000000,-0.053132,-0.919473,-0.389546,-0.877442,0.229222,-0.421371,-0.649471,0.759493,-0.036850,145.228829
0.000000,10.051095,10.051095,0.244591,-0.963821,-0.105942,-0.851772,-0.161368,-0.498442,-0.774608,0.620535,-0.122143,152.697995
0.000000,10.051095,19.978102,0.543750,-0.818753,0.184335,-0.637007,-0.545641,-0.544516,-0.872430,0.436798,-0.219257,155.514707
0.000000,10.051095,30.029197,0.726375,-0.538311,0.427318,-0.266139,-0.793530,-0.547248,-0.924925,0.229677,-0.302924,153.304955
0.000000,10.051095,39.956204,0.752635,-0.265199,0.602669,0.141994,-0.828392,-0.541853,-0.929993,0.036181,-0.365793,146.179816
0.000000,10.051095,50.007299,0.673113,-0.069470,0.736270,0.528322,-0.651480,-0.544472,-0.898101,-0.151149,-0.412999,133.637415
0.000000,10.051095,60.058394,0.562895,-0.003162,0.826522,0.782525,-0.319897,-0.534154,-0.837915,-0.316951,-0.444343,117.859050
0.000000,10.051095,69.985401,0.505414,-0.051698,0.861327,0.860108,0.110096,-0.498090,-0.752984,-0.469978,-0.460582,98.174625
0.000000,10.051095,80.036496,0.548650,-0.157904,0.821005,0.770403,0.476928,-0.423107,-0.657768,-0.585239,-0.474169,78.202875
0.000000,10.051095,89.963504,0.689446,-0.240416,0.683275,0.559848,0.775413,-0.292069,-0.531728,-0.693749,-0.485776,55.456592
0.000000,10.051095,100.014599,0.857503,-0.240919,0.454584,0.339593,0.928800,-0.148346,-0.387776,-0.758602,-0.523597,33.665975
0.000000,10.051095,109.941606,0.977707,-0.149502,0.147436,0.149819,0.988672,0.009016,-0.010140,-0.701366,-0.712729,12.121326
0.000000,10.051095,119.992701,0.974896,0.012156,-0.222331,0.022873,0.987759,0.154302,0.572290,0.819812,-0.019796,15.704817
0.000000,10.051095,130.043796,0.793024,0.173438,-0.583980,-0.033480,0.969575,0.242492,0.324577,0.931928,0.161739,39.767063
