#Rotator,#Paddle1,#Paddle2,#Paddle3,#S1,#S2,#S3,#DOP,#Power
0.000000,0.000000,0.000000,0.000000,-0.138619,-0.979986,-0.142871,0.961452,0.000011
45.000000,0.000000,0.000000,0.000000,-0.569832,0.189138,-0.799699,0.986188,0.000014
0.000000,0.000000,0.000000,10.051095,0.120520,-0.984411,0.128099,0.956371,0.000011
45.000000,0.000000,0.000000,10.051095,-0.493321,-0.232710,-0.838141,0.976055,0.000014
0.000000,0.000000,0.000000,19.978102,0.373323,-0.844216,0.384615,0.950451,0.000011
45.000000,0.000000,0.000000,19.978102,-0.196239,-0.569677,-0.798097,0.958813,0.000014
0.000000,0.000000,0.000000,30.029197,0.532140,-0.595883,0.601457,0.948271,0.000011
45.000000,0.000000,0.000000,30.029197,0.193130,-0.672766,-0.714203,0.944255,0.000014
0.000000,0.000000,0.000000,39.956204,0.554817,-0.390730,0.734512,0.947523,0.000011
45.000000,0.000000,0.000000,39.956204,0.557204,-0.554556,-0.618054,0.934678,0.000015
0.000000,0.000000,0.000000,50.007299,0.513231,-0.270938,0.814362,0.948581,0.000011
45.000000,0.000000,0.000000,50.007299,0.820486,-0.250550,-0.513836,0.930962,0.000015
0.000000,0.000000,0.000000,60.058394,0.470722,-0.255788,0.844388,0.949262,0.000011
45.000000,0.000000,0.000000,60.058394,0.907577,0.136965,-0.396918,0.932680,0.000015
0.000000,0.000000,0.000000,69.985401,0.482339,-0.313289,0.818045,0.948720,0.000011
45.000000,0.000000,0.000000,69.985401,0.818377,0.518430,-0.247972,0.938209,0.000015
0.000000,0.000000,0.000000,80.036496,0.589253,-0.391915,0.706529,0.946731,0.000011
45.000000,0.000000,0.000000,80.036496,0.632098,0.771296,-0.074531,0.944202,0.000015
0.000000,0.000000,0.000000,89.963504,0.761545,-0.414537,0.498204,0.940187,0.000011
45.000000,0.000000,0.000000,89.963504,0.408846,0.900989,0.145137,0.950116,0.000015
0.000000,0.000000,0.000000,100.014599,0.918725,-0.334429,0.210002,0.933883,0.000011
45.000000,0.000000,0.000000,100.014599,0.276753,0.902824,0.329114,0.952732,0.000015
0.000000,0.000000,0.000000,109.941606,0.978126,-0.172344,-0.116478,0.931611,0.000011
45.000000,0.000000,0.000000,109.941606,0.240205,0.851103,0.466825,0.952734,0.000015
0.000000,0.000000,0.000000,119.992701,0.880826,0.031331,-0.472397,0.934472,0.000011
45.000000,0.000000,0.000000,119.992701,0.296135,0.803272,0.516776,0.951036,0.000015
0.000000,0.000000,0.000000,130.043796,0.601755,0.192702,-0.775084,0.945285,0.000011
45.000000,0.000000,0.000000,130.043796,0.390200,0.811159,0.435619,0.949288,0.000015
0.000000,0.000000,0.000000,139.970803,0.185446,0.224045,-0.956772,0.958774,0.000011
45.000000,0.000000,0.000000,139.970803,0.419878,0.878738,0.226981,0.948844,0.000015
0.000000,0.000000,0.000000,150.021898,-0.235289,0.087528,-0.967975,0.971971,0.000011
45.000000,0.000000,0.000000,150.021898,0.310346,0.948077,-0.069533,0.957169,0.000015
0.000000,0.000000,0.000000,159.948905,-0.563981,-0.224310,-0.794739,0.979141,0.000011
45.000000,0.000000,0.000000,159.948905,0.043431,0.923218,-0.381815,0.970851,0.000015
0.000000,0.000000,0.000000,170.000000,-0.654783,-0.551334,-0.516999,0.980414,0.000011
45.000000,0.000000,0.000000,170.000000,-0.225203,0.783711,-0.578862,0.978461,0.000015
0.000000,0.000000,10.051095,0.000000,-0.057008,-0.918451,-0.391404,0.953789,0.000011
45.000000,0.000000,10.051095,0.000000,-0.877668,0.225158,-0.423088,0.998004,0.000013
0.000000,0.000000,10.051095,10.051095,0.218845,-0.968241,-0.120895,0.947997,0.000011
45.000000,0.000000,10.051095,10.051095,-0.844025,-0.190303,-0.501405,0.991428,0.000013
0.000000,0.000000,10.051095,19.978102,0.510282,-0.845722,0.156097,0.942697,0.000011
45.000000,0.000000,10.051095,19.978102,-0.608210,-0.587012,-0.534319,0.977586,0.000013
0.000000,0.000000,10.051095,30.029197,0.717197,-0.564202,0.409028,0.939586,0.000011
45.000000,0.000000,10.051095,30.029197,-0.242026,-0.810860,-0.532850,0.960555,0.000013
0.000000,0.000000,10.051095,39.956204,0.756837,-0.291874,0.584814,0.939433,0.000011
45.000000,0.000000,10.051095,39.956204,0.166282,-0.836542,-0.522061,0.946687,0.000014
0.000000,0.000000,10.051095,50.007299,0.694732,-0.096802,0.712725,0.941446,0.000011
45.000000,0.000000,10.051095,50.007299,0.556157,-0.653825,-0.513032,0.935284,0.000014
0.000000,0.000000,10.051095,60.058394,0.590067,-0.014410,0.807225,0.944378,0.000011
45.000000,0.000000,10.051095,60.058394,0.801837,-0.319810,-0.504756,0.932396,0.000014
0.000000,0.000000,10.051095,69.985401,0.527595,-0.048819,0.848092,0.946258,0.000011
45.000000,0.000000,10.051095,69.985401,0.872951,0.108715,-0.475538,0.935423,0.000014
0.000000,0.000000,10.051095,80.036496,0.558928,-0.151496,0.815259,0.945751,0.000011
45.000000,0.000000,10.051095,80.036496,0.777688,0.474768,-0.412063,0.941322,0.000014
0.000000,0.000000,10.051095,89.963504,0.691185,-0.238002,0.682363,0.942503,0.000011
45.000000,0.000000,10.051095,89.963504,0.561991,0.774661,-0.289941,0.950429,0.000014
0.000000,0.000000,10.051095,100.014599,0.858084,-0.239327,0.454329,0.936016,0.000011
45.000000,0.000000,10.051095,100.014599,0.341062,0.928386,-0.147567,0.956928,0.000014
0.000000,0.000000,10.051095,109.941606,0.978392,-0.144911,0.147476,0.931802,0.000011
45.000000,0.000000,10.051095,109.941606,0.154356,0.987968,0.009700,0.961652,0.000013
0.000000,0.000000,10.051095,119.992701,0.975060,0.020932,-0.220951,0.931645,0.000011
45.000000,0.000000,10.051095,119.992701,0.031534,0.987828,0.152321,0.963781,0.000013
0.000000,0.000000,10.051095,130.043796,0.792594,0.184403,-0.581197,0.938875,0.000011
45.000000,0.000000,10.051095,130.043796,-0.024501,0.971477,0.235866,0.964332,0.000013
0.000000,0.000000,10.051095,139.970803,0.439775,0.253522,-0.861582,0.951082,0.000011
45.000000,0.000000,10.051095,139.970803,-0.056731,0.973866,0.219926,0.965581,0.000013
0.000000,0.000000,10.051095,150.021898,0.023423,0.157764,-0.987199,0.963158,0.000010
45.000000,0.000000,10.051095,150.021898,-0.137047,0.984412,0.110234,0.970244,0.000013
0.000000,0.000000,10.051095,159.948905,-0.343822,-0.113476,-0.932153,0.972386,0.000010
45.000000,0.000000,10.051095,159.948905,-0.314857,0.947031,-0.063219,0.978942,0.000013
0.000000,0.000000,10.051095,170.000000,-0.506929,-0.461701,-0.727912,0.973762,0.000010
45.000000,0.000000,10.051095,170.000000,-0.509532,0.837165,-0.198826,0.987088,0.000013
0.000000,0.000000,19.978102,0.000000,-0.071670,-0.739092,-0.669781,0.953748,0.000010
45.000000,0.000000,19.978102,0.000000,-0.997485,0.061697,0.034865,0.998873,0.000014
0.000000,0.000000,19.978102,10.051095,0.195514,-0.877161,-0.438591,0.945246,0.000011
45.000000,0.000000,19.978102,10.051095,-0.969959,-0.242336,-0.021289,0.996314,0.000014
0.000000,0.000000,19.978102,19.978102,0.527253,-0.831772,-0.173662,0.940711,0.000011
45.000000,0.000000,19.978102,19.978102,-0.814931,-0.574230,-0.078404,0.988263,0.000014
0.000000,0.000000,19.978102,30.029197,0.812614,-0.575054,0.094713,0.936949,0.000011
45.000000,0.000000,19.978102,30.029197,-0.538768,-0.832664,-0.128060,0.976056,0.000014
0.000000,0.000000,19.978102,39.956204,0.918382,-0.263213,0.295454,0.935573,0.000011
45.000000,0.000000,19.978102,39.956204,-0.179410,-0.965860,-0.186888,0.961382,0.000014
0.000000,0.000000,19.978102,50.007299,0.884948,0.017510,0.465358,0.935920,0.000011
45.000000,0.000000,19.978102,50.007299,0.232996,-0.935152,-0.266839,0.946270,0.000015
0.000000,0.000000,19.978102,60.058394,0.757096,0.210288,0.618533,0.940203,0.000011
45.000000,0.000000,19.978102,60.058394,0.570515,-0.736693,-0.363037,0.935541,0.000015
0.000000,0.000000,19.978102,69.985401,0.629764,0.254148,0.734032,0.943060,0.000011
45.000000,0.000000,19.978102,69.985401,0.796628,-0.378562,-0.471247,0.932245,0.000015
0.000000,0.000000,19.978102,80.036496,0.562475,0.186575,0.805488,0.945543,0.000011
45.000000,0.000000,19.978102,80.036496,0.835994,0.007717,-0.548683,0.935268,0.000015
0.000000,0.000000,19.978102,89.963504,0.614880,0.072762,0.785257,0.943177,0.000011
45.000000,0.000000,19.978102,89.963504,0.699108,0.416894,-0.580902,0.945094,0.000015
0.000000,0.000000,19.978102,100.014599,0.758514,0.006134,0.651627,0.940732,0.000011
45.000000,0.000000,19.978102,100.014599,0.462863,0.694339,-0.551046,0.955304,0.000015
0.000000,0.000000,19.978102,109.941606,0.905035,0.026270,0.424524,0.935914,0.000011
45.000000,0.000000,19.978102,109.941606,0.181725,0.868794,-0.460622,0.966118,0.000015
0.000000,0.000000,19.978102,119.992701,0.986496,0.136201,0.090965,0.934453,0.000011
45.000000,0.000000,19.978102,119.992701,-0.097290,0.941589,-0.322404,0.974768,0.000014
0.000000,0.000000,19.978102,130.043796,0.914799,0.285092,-0.286121,0.936720,0.000011
45.000000,0.000000,19.978102,130.043796,-0.345008,0.928101,-0.139995,0.981323,0.000014
0.000000,0.000000,19.978102,139.970803,0.657022,0.387755,-0.646504,0.946837,0.000011
45.000000,0.000000,19.978102,139.970803,-0.497897,0.867117,0.014405,0.983937,0.000014
0.000000,0.000000,19.978102,150.021898,0.278806,0.353582,-0.892887,0.958631,0.000011
45.000000,0.000000,19.978102,150.021898,-0.597931,0.792243,0.121776,0.985609,0.000014
0.000000,0.000000,19.978102,159.948905,-0.126082,0.131027,-0.983328,0.968402,0.000011
45.000000,0.000000,19.978102,159.948905,-0.690104,0.704625,0.165108,0.988062,0.000014
0.000000,0.000000,19.978102,170.000000,-0.369726,-0.209768,-0.905152,0.971504,0.000011
45.000000,0.000000,19.978102,170.000000,-0.775622,0.610302,0.161065,0.991084,0.000014
0.000000,0.000000,30.029197,0.000000,-0.218985,-0.409599,-0.885592,0.961364,0.000011
45.000000,0.000000,30.029197,0.000000,-0.885956,-0.298231,0.355163,0.992795,0.000014
0.000000,0.000000,30.029197,10.051095,0.000722,-0.668608,-0.743615,0.949991,0.000011
45.000000,0.000000,30.029197,10.051095,-0.807082,-0.433253,0.401135,0.989795,0.000014
0.000000,0.000000,30.029197,19.978102,0.345305,-0.766505,-0.541510,0.940199,0.000011
45.000000,0.000000,30.029197,19.978102,-0.696014,-0.599700,0.394872,0.985530,0.000014
0.000000,0.000000,30.029197,30.029197,0.721653,-0.622077,-0.303705,0.932755,0.000012
45.000000,0.000000,30.029197,30.029197,-0.529718,-0.770869,0.353779,0.978757,0.000014
0.000000,0.000000,30.029197,39.956204,0.935204,-0.336249,-0.111040,0.929961,0.000012
45.000000,0.000000,30.029197,39.956204,-0.297014,-0.912507,0.281272,0.969612,0.000014
0.000000,0.000000,30.029197,50.007299,0.997842,0.001935,0.065637,0.930032,0.000012
45.000000,0.000000,30.029197,50.007299,0.017030,-0.985692,0.167695,0.956575,0.000014
0.000000,0.000000,30.029197,60.058394,0.914724,0.318300,0.248926,0.934238,0.000012
45.000000,0.000000,30.029197,60.058394,0.339153,-0.940611,0.015004,0.943604,0.000014
0.000000,0.000000,30.029197,69.985401,0.765485,0.492121,0.414547,0.938147,0.000011
45.000000,0.000000,30.029197,69.985401,0.641860,-0.743178,-0.188951,0.932509,0.000015
0.000000,0.000000,30.029197,80.036496,0.607308,0.540180,0.582564,0.942590,0.000011
45.000000,0.000000,30.029197,80.036496,0.805043,-0.452139,-0.384026,0.929338,0.000015
0.000000,0.000000,30.029197,89.963504,0.546627,0.475867,0.689020,0.943708,0.000011
45.000000,0.000000,30.029197,89.963504,0.809933,-0.056439,-0.583801,0.933463,0.000015
0.000000,0.000000,30.029197,100.014599,0.599786,0.391380,0.697909,0.942420,0.000011
45.000000,0.000000,30.029197,100.014599,0.647991,0.276211,-0.709799,0.943189,0.000015
0.000000,0.000000,30.029197,109.941606,0.716147,0.347668,0.605194,0.940045,0.000011
45.000000,0.000000,30.029197,109.941606,0.363064,0.539365,-0.759783,0.957112,0.000014
0.000000,0.000000,30.029197,119.992701,0.836702,0.383175,0.391288,0.935730,0.000011
45.000000,0.000000,30.029197,119.992701,0.004115,0.690977,-0.722865,0.971561,0.000014
0.000000,0.000000,30.029197,130.043796,0.868258,0.491301,0.068927,0.936452,0.000011
45.000000,0.000000,30.029197,130.043796,-0.388068,0.716276,-0.579958,0.985117,0.000014
0.000000,0.000000,30.029197,139.970803,0.733700,0.606201,-0.306926,0.943272,0.000011
45.000000,0.000000,30.029197,139.970803,-0.694990,0.621267,-0.361962,0.993964,0.000014
0.000000,0.000000,30.029197,150.021898,0.443139,0.630660,-0.637099,0.955222,0.000011
45.000000,0.000000,30.029197,150.021898,-0.879727,0.462307,-0.111144,0.997297,0.000014
0.000000,0.000000,30.029197,159.948905,0.050700,0.488264,-0.871222,0.967472,0.000011
45.000000,0.000000,30.029197,159.948905,-0.948959,0.285147,0.134791,0.997031,0.000014
0.000000,0.000000,30.029197,170.000000,-0.265177,0.193140,-0.944658,0.974745,0.000011
45.000000,0.000000,30.029197,170.000000,-0.942817,0.162068,0.291255,0.995452,0.000014
0.000000,0.000000,39.956204,0.000000,-0.448823,-0.036586,-0.892871,0.977920,0.000011
45.000000,0.000000,39.956204,0.000000,-0.642326,-0.672316,0.367978,0.983634,0.000013
0.000000,0.000000,39.956204,10.051095,-0.309895,-0.389508,-0.867323,0.966303,0.000011
45.000000,0.000000,39.956204,10.051095,-0.476028,-0.695748,0.537897,0.978125,0.000013
0.000000,0.000000,39.956204,19.978102,-0.009116,-0.634733,-0.772678,0.951498,0.000011
45.000000,0.000000,39.956204,19.978102,-0.334451,-0.691590,0.640192,0.973432,0.000013
0.000000,0.000000,39.956204,30.029197,0.414501,-0.665362,-0.620872,0.938580,0.000011
45.000000,0.000000,39.956204,30.029197,-0.224061,-0.707024,0.670756,0.969947,0.000013
0.000000,0.000000,39.956204,39.956204,0.743432,-0.471889,-0.473951,0.931925,0.000011
45.000000,0.000000,39.956204,39.956204,-0.108400,-0.753420,0.648543,0.966225,0.000013
0.000000,0.000000,39.956204,50.007299,0.932301,-0.143467,-0.332013,0.930060,0.000011
45.000000,0.000000,39.956204,50.007299,0.065259,-0.817553,0.572144,0.960265,0.000013
0.000000,0.000000,39.956204,60.058394,0.954351,0.244223,-0.171959,0.933031,0.000011
45.000000,0.000000,39.956204,60.058394,0.282283,-0.851857,0.441199,0.952407,0.000014
0.000000,0.000000,39.956204,69.985401,0.840367,0.542000,-0.004408,0.938611,0.000011
45.000000,0.000000,39.956204,69.985401,0.545300,-0.803266,0.239606,0.941310,0.000014
0.000000,0.000000,39.956204,80.036496,0.645996,0.737233,0.197930,0.944419,0.000011
45.000000,0.000000,39.956204,80.036496,0.759544,-0.650452,0.002292,0.932162,0.000014
0.000000,0.000000,39.956204,89.963504,0.486143,0.784337,0.385331,0.947328,0.000011
45.000000,0.000000,39.956204,89.963504,0.882809,-0.369714,-0.289757,0.928799,0.000014
0.000000,0.000000,39.956204,100.014599,0.418468,0.744613,0.520034,0.947863,0.000011
45.000000,0.000000,39.956204,100.014599,0.841792,-0.079026,-0.533985,0.932799,0.000014
0.000000,0.000000,39.956204,109.941606,0.445055,0.683138,0.579007,0.946440,0.000011
45.000000,0.000000,39.956204,109.941606,0.646532,0.206906,-0.734293,0.943212,0.000014
0.000000,0.000000,39.956204,119.992701,0.542746,0.662181,0.516664,0.944626,0.000011
45.000000,0.000000,39.956204,119.992701,0.318946,0.412300,-0.853394,0.957076,0.000014
0.000000,0.000000,39.956204,130.043796,0.620706,0.710516,0.331497,0.944125,0.000011
45.000000,0.000000,39.956204,130.043796,-0.130168,0.499144,-0.856686,0.974403,0.000013
0.000000,0.000000,39.956204,139.970803,0.593649,0.803898,0.036447,0.947770,0.000011
45.000000,0.000000,39.956204,139.970803,-0.554738,0.418958,-0.718846,0.988724,0.000013
0.000000,0.000000,39.956204,150.021898,0.412759,0.863426,-0.290043,0.956566,0.000011
45.000000,0.000000,39.956204,150.021898,-0.858104,0.213938,-0.466785,0.997070,0.000013
0.000000,0.000000,39.956204,159.948905,0.092645,0.802237,-0.589773,0.969657,0.000010
45.000000,0.000000,39.956204,159.948905,-0.988977,-0.053886,-0.137916,0.998548,0.000013
0.000000,0.000000,39.956204,170.000000,-0.245400,0.574786,-0.780641,0.979910,0.000010
45.000000,0.000000,39.956204,170.000000,-0.962509,-0.242397,0.121734,0.996150,0.000013
0.000000,0.000000,50.007299,0.000000,-0.697631,0.274360,-0.661844,0.992822,0.000010
45.000000,0.000000,50.007299,0.000000,-0.411637,-0.909328,0.060643,0.973041,0.000014
0.000000,0.000000,50.007299,10.051095,-0.661284,-0.091727,-0.744506,0.985763,0.000010
45.000000,0.000000,50.007299,10.051095,-0.146265,-0.930399,0.336102,0.965981,0.000014
0.000000,0.000000,50.007299,19.978102,-0.445051,-0.454653,-0.771505,0.971291,0.000010
45.000000,0.000000,50.007299,19.978102,0.089931,-0.826632,0.555510,0.959652,0.000014
0.000000,0.000000,50.007299,30.029197,-0.039149,-0.670511,-0.740866,0.953233,0.000010
45.000000,0.000000,50.007299,30.029197,0.229624,-0.689011,0.687412,0.957188,0.000014
0.000000,0.000000,50.007299,39.956204,0.356365,-0.632283,-0.687911,0.941275,0.000010
45.000000,0.000000,50.007299,39.956204,0.300187,-0.582352,0.755481,0.954600,0.000014
0.000000,0.000000,50.007299,50.007299,0.673208,-0.393955,-0.625771,0.935976,0.000010
45.000000,0.000000,50.007299,50.007299,0.354711,-0.529424,0.770642,0.953292,0.000014
0.000000,0.000000,50.007299,60.058394,0.839592,-0.006217,-0.543181,0.935895,0.000010
45.000000,0.000000,50.007299,60.058394,0.426286,-0.535402,0.729125,0.950235,0.000014
0.000000,0.000000,50.007299,69.985401,0.823099,0.367884,-0.432630,0.941065,0.000010
45.000000,0.000000,50.007299,69.985401,0.567704,-0.551887,0.610845,0.946968,0.000014
0.000000,0.000000,50.007299,80.036496,0.660036,0.701463,-0.268890,0.949748,0.000010
45.000000,0.000000,50.007299,80.036496,0.733945,-0.520983,0.435776,0.939117,0.000014
0.000000,0.000000,50.007299,89.963504,0.431492,0.899685,-0.066189,0.955563,0.000010
45.000000,0.000000,50.007299,89.963504,0.903780,-0.395243,0.164210,0.932580,0.000014
0.000000,0.000000,50.007299,100.014599,0.243472,0.960188,0.136970,0.958860,0.000010
45.000000,0.000000,50.007299,100.014599,0.970654,-0.205474,-0.124945,0.929239,0.000014
0.000000,0.000000,50.007299,109.941606,0.136128,0.937018,0.321660,0.959510,0.000010
45.000000,0.000000,50.007299,109.941606,0.909103,0.026982,-0.415695,0.933240,0.000014
0.000000,0.000000,50.007299,119.992701,0.133938,0.888664,0.438562,0.958376,0.000010
45.000000,0.000000,50.007299,119.992701,0.691193,0.244475,-0.680062,0.942722,0.000014
0.000000,0.000000,50.007299,130.043796,0.193876,0.874890,0.443823,0.956902,0.000010
45.000000,0.000000,50.007299,130.043796,0.296747,0.384363,-0.874187,0.957756,0.000014
0.000000,0.000000,50.007299,139.970803,0.238667,0.916015,0.322419,0.956366,0.000010
45.000000,0.000000,50.007299,139.970803,-0.157914,0.360681,-0.919224,0.972711,0.000013
0.000000,0.000000,50.007299,150.021898,0.182465,0.978078,0.100344,0.961481,0.000010
45.000000,0.000000,50.007299,150.021898,-0.569482,0.168788,-0.804488,0.985793,0.000013
0.000000,0.000000,50.007299,159.948905,-0.016349,0.983664,-0.179267,0.971780,0.000010
45.000000,0.000000,50.007299,159.948905,-0.822967,-0.149117,-0.548169,0.991727,0.000013
0.000000,0.000000,50.007299,170.000000,-0.294682,0.860400,-0.415782,0.982510,0.000010
45.000000,0.000000,50.007299,170.000000,-0.862330,-0.422663,-0.278824,0.990936,0.000013
0.000000,0.000000,60.058394,0.000000,-0.860423,0.437873,-0.260652,0.997635,0.000010
45.000000,0.000000,60.058394,0.000000,-0.332797,-0.866943,-0.371019,0.964951,0.000014
0.000000,0.000000,60.058394,10.051095,-0.903342,0.106427,-0.415507,0.997556,0.000010
45.000000,0.000000,60.058394,10.051095,-0.022692,-0.996827,-0.076295,0.956882,0.000014
0.000000,0.000000,60.058394,19.978102,-0.798161,-0.279736,-0.533560,0.989277,0.000010
45.000000,0.000000,60.058394,19.978102,0.314906,-0.928487,0.196839,0.948534,0.000014
0.000000,0.000000,60.058394,30.029197,-0.482147,-0.622752,-0.616209,0.971586,0.000010
45.000000,0.000000,60.058394,30.029197,0.553126,-0.731486,0.398724,0.943898,0.000014
0.000000,0.000000,60.058394,39.956204,-0.091315,-0.744377,-0.661487,0.955139,0.000010
45.000000,0.000000,60.058394,39.956204,0.672240,-0.508015,0.538530,0.942574,0.000014
0.000000,0.000000,60.058394,50.007299,0.292173,-0.651975,-0.699688,0.942279,0.000011
45.000000,0.000000,60.058394,50.007299,0.705221,-0.301240,0.641808,0.942111,0.000014
0.000000,0.000000,60.058394,60.058394,0.597153,-0.349413,-0.722024,0.937887,0.000011
45.000000,0.000000,60.058394,60.058394,0.690751,-0.187137,0.698457,0.942749,0.000014
0.000000,0.000000,60.058394,69.985401,0.706473,0.032378,-0.706998,0.940698,0.000011
45.000000,0.000000,60.058394,69.985401,0.696585,-0.145149,0.702638,0.942496,0.000014
0.000000,0.000000,60.058394,80.036496,0.625983,0.450800,-0.636336,0.947729,0.000011
45.000000,0.000000,60.058394,80.036496,0.753701,-0.141163,0.641878,0.940487,0.000014
0.000000,0.000000,60.058394,89.963504,0.407724,0.763773,-0.500412,0.958146,0.000011
45.000000,0.000000,60.058394,89.963504,0.862617,-0.114717,0.492677,0.937033,0.000014
0.000000,0.000000,60.058394,100.014599,0.144729,0.938489,-0.313516,0.967037,0.000010
45.000000,0.000000,60.058394,100.014599,0.961536,-0.031207,0.272898,0.932406,0.000014
0.000000,0.000000,60.058394,109.941606,-0.090380,0.992676,-0.080162,0.972460,0.000010
45.000000,0.000000,60.058394,109.941606,0.993851,0.110710,0.001803,0.930381,0.000014
0.000000,0.000000,60.058394,119.992701,-0.232438,0.959846,0.157060,0.973406,0.000010
45.000000,0.000000,60.058394,119.992701,0.906788,0.286790,-0.309010,0.935748,0.000014
0.000000,0.000000,60.058394,130.043796,-0.262035,0.902702,0.341272,0.971273,0.000010
45.000000,0.000000,60.058394,130.043796,0.645742,0.443710,-0.621400,0.946735,0.000014
0.000000,0.000000,60.058394,139.970803,-0.216754,0.879691,0.423275,0.968029,0.000010
45.000000,0.000000,60.058394,139.970803,0.250908,0.481817,-0.839582,0.961075,0.000014
0.000000,0.000000,60.058394,150.021898,-0.181321,0.906692,0.380831,0.967969,0.000010
45.000000,0.000000,60.058394,150.021898,-0.188973,0.350907,-0.917144,0.974498,0.000014
0.000000,0.000000,60.058394,159.948905,-0.239231,0.944294,0.226003,0.972530,0.000010
45.000000,0.000000,60.058394,159.948905,-0.556165,0.043411,-0.829937,0.983412,0.000014
0.000000,0.000000,60.058394,170.000000,-0.401489,0.915413,0.028726,0.980787,0.000010
45.000000,0.000000,60.058394,170.000000,-0.702518,-0.269517,-0.658657,0.984635,0.000014
0.000000,0.000000,69.985401,0.000000,-0.897057,0.402412,0.182631,0.994131,0.000010
45.000000,0.000000,69.985401,0.000000,-0.408940,-0.581082,-0.703641,0.968093,0.000014
0.000000,0.000000,69.985401,10.051095,-0.984085,0.177010,0.015609,0.998324,0.000010
45.000000,0.000000,69.985401,10.051095,-0.128070,-0.866074,-0.483233,0.955439,0.000014
0.000000,0.000000,69.985401,19.978102,-0.976456,-0.156531,-0.148431,0.996912,0.000010
45.000000,0.000000,69.985401,19.978102,0.260345,-0.934691,-0.242020,0.943576,0.000014
0.000000,0.000000,69.985401,30.029197,-0.776502,-0.516858,-0.319363,0.945626,0.000066
45.000000,0.000000,69.985401,30.029197,0.603741,-0.796418,-0.034833,0.936613,0.000015
0.000000,0.000000,69.985401,39.956204,-0.470145,-0.773350,-0.425315,0.970876,0.000010
45.000000,0.000000,69.985401,39.956204,0.830710,-0.541130,0.130759,0.932293,0.000015
0.000000,0.000000,69.985401,50.007299,-0.079395,-0.831727,-0.549478,0.954982,0.000010
45.000000,0.000000,69.985401,50.007299,0.933476,-0.228786,0.276185,0.930849,0.000015
0.000000,0.000000,69.985401,60.058394,0.299744,-0.673213,-0.675972,0.942516,0.000011
45.000000,0.000000,69.985401,60.058394,0.918670,0.031227,0.393789,0.932765,0.000015
0.000000,0.000000,69.985401,69.985401,0.521112,-0.373127,-0.767605,0.939408,0.000011
45.000000,0.000000,69.985401,69.985401,0.845170,0.211797,0.490742,0.936351,0.000015
0.000000,0.000000,69.985401,80.036496,0.567020,0.060628,-0.821469,0.944631,0.000011
45.000000,0.000000,69.985401,80.036496,0.786393,0.285664,0.547706,0.936877,0.000015
0.000000,0.000000,69.985401,89.963504,0.407770,0.446976,-0.796201,0.954895,0.000011
45.000000,0.000000,69.985401,89.963504,0.776165,0.310079,0.549014,0.938675,0.000015
0.000000,0.000000,69.985401,100.014599,0.129223,0.718420,-0.683501,0.968379,0.000010
45.000000,0.000000,69.985401,100.014599,0.820036,0.330184,0.467458,0.937689,0.000014
0.000000,0.000000,69.985401,109.941606,-0.180658,0.855943,-0.484484,0.978896,0.000010
45.000000,0.000000,69.985401,109.941606,0.868938,0.386155,0.309562,0.936574,0.000015
0.000000,0.000000,69.985401,119.992701,-0.449246,0.866336,-0.218265,0.985157,0.000010
45.000000,0.000000,69.985401,119.992701,0.869356,0.489431,0.068389,0.936905,0.000014
0.000000,0.000000,69.985401,130.043796,-0.602414,0.794715,0.074328,0.986376,0.000010
45.000000,0.000000,69.985401,130.043796,0.749264,0.617359,-0.239729,0.942198,0.000014
0.000000,0.000000,69.985401,139.970803,-0.621127,0.712646,0.326093,0.983500,0.000010
45.000000,0.000000,69.985401,139.970803,0.481721,0.692286,-0.537293,0.953873,0.000014
0.000000,0.000000,69.985401,150.021898,-0.556280,0.678380,0.479950,0.978451,0.000010
